Year Graduated,Gender,Marital Status,Diploma Type,Defaulted,Salary,Fee,Savings ($)
2004,Male,Single,Standard Diploma,Yes,125000,10869,"$86,000"
2005,Male,Married,College Prep Diploma,No,100000,10869,"$116,000"
2006,Female,Single,Standard Diploma,Yes,70000,10869,"$52,000"
2007,Male,Married,Standard Diploma,No,120000,10869,"$76,000"
2006,Female,Divorced,Standard Diploma,Yes,95000,11948,"$52,000"
2007,Female,Married,College Prep Diploma,No,60000,11948,"$67,000"
2006,Male,Divorced,Standard Diploma,No,160000,11724,"$120,000"
2006,Female,Single,College Prep Diploma,Yes,85000,11724,"$82,000"
2007,Male,Married,Standard Diploma,No,75000,11724,"$86,000"
2005,Female,Single,Standard Diploma,Yes,90000,12717,"$30,000"
2006,Female,Single,Standard Diploma,Yes,95000,12717,"$16,000"
2007,Female,Married,Standard Diploma,No,40000,12717,"$52,000"
2007,Male,Single,Standard Diploma,Yes,110000,12717,"$120,000"
2007,Male,Married,College Prep Diploma,Yes,85000,12055,"$32,000"
2008,Female,Divorced,Standard Diploma,No,75000,12055,"$67,000"
2009,Male,Married,College Prep Diploma,Yes,90000,12055,"$40,000"
2004,Male,Divorced,Standard Diploma,Yes,95000,10960,"$6,000"
2005,Female,Single,Standard Diploma,Yes,60000,10960,"$36,000"
2006,Male,Married,Standard Diploma,No,140000,20960,"$72,000"
2007,Female,Single,Standard Diploma,Yes,85000,10960,"$46,000"
2008,Male,Single,Standard Diploma,Yes,75000,10960,"$32,000"
2004,Male,Married,Standard Diploma,Yes,90000,11691,"$67,000"
2005,Female,Single,Standard Diploma,Yes,35000,11691,"$40,000"
2006,Male,Married,College Prep Diploma,No,75000,11691,"$82,000"
2007,Female,Divorced,Standard Diploma,No,110000,11691,"$146,000"
2004,Male,Married,Standard Diploma,Yes,75000,11326,"$57,000"
2005,Female,Divorced,College Prep Diploma,No,90000,11326,"$64,000"
2006,Male,Single,Standard Diploma,Yes,85000,11326,"$52,000"
2007,M,Married,Standard Diploma,Yes,75000,11326,"$46,000"
2004,Male,Single,Standard Diploma,Yes,110000,10962,"$52,000"
2005,Male,Single,Standard Diploma,No,60000,10962,"$57,000"
2006,Male,Married,Standard Diploma,Yes,120000,10962,"$60,000"
2007,Female,Divorced,Standard Diploma,No,85000,10962,"$12,000"
2008,Male,Married,Standard Diploma,Yes,75000,10962,"$16,000"
2008,Female,Divorced,Standard Diploma,No,90000,11692,"$37,000"
